link_dict:time,link_dict:loss,link_dict:bg_power,link_dict:wavelength,link_dict:wavelength_range,hardware_dict:clock_rate,hardware_dict:reciever_losses,hardware_dict:ec_efficency,hardware_dict:dark_counts,hardware_dict:detector_error,hardware_dict:detector_time,hardware_dict:background_qber,protocol_dict:name,protocol_dict:internals:signal_strength,protocol_dict:internals:decoy_strength,protocol_dict:internals:N_0,protocol_dict:internals:N_sig,protocol_dict:internals:N_dec_z,protocol_dict:internals:N_dec_x,protocol_dict:internals:prob_z,protocol_dict:internals:sigma,result:key_rate,result:qber,result:gain
360,19.39879759519038,-110,1550,0.1,1800000000.0,9,1.0,500,0.01,4e-10,0.5,bias_decoy_weak_vac_fin,0.5,0.1,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.8,5,6.24991041932375e-05,0.010667553742595435,0.0007236439115915205
360,19.478957915831664,-110,1550,0.1,1800000000.0,9,1.0,500,0.01,4e-10,0.5,bias_decoy_weak_vac_fin,0.5,0.1,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.8,5,6.131738278343639e-05,0.01067996784937804,0.0007104324151960828
360,19.559118236472944,-110,1550,0.1,1800000000.0,9,1.0,500,0.01,4e-10,0.5,bias_decoy_weak_vac_fin,0.5,0.1,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.8,5,6.015746468478561e-05,0.010692612570882113,0.0006974623646724964
360,19.639278557114228,-110,1550,0.1,1800000000.0,9,1.0,500,0.01,4e-10,0.5,bias_decoy_weak_vac_fin,0.5,0.1,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.8,5,5.901894935150013e-05,0.010705492178926988,0.0006847293505425345
360,19.71943887775551,-110,1550,0.1,1800000000.0,9,1.0,500,0.01,4e-10,0.5,bias_decoy_weak_vac_fin,0.5,0.1,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.8,5,5.7901443587015705e-05,0.010718611023999895,0.0006722290437466416
360,19.79959919839679,-110,1550,0.1,1800000000.0,9,1.0,500,0.01,4e-10,0.5,bias_decoy_weak_vac_fin,0.5,0.1,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.8,5,5.680456140889055e-05,0.010731973536690285,0.0006599571941816595
360,19.879759519038075,-110,1550,0.1,1800000000.0,9,1.0,500,0.01,4e-10,0.5,bias_decoy_weak_vac_fin,0.5,0.1,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.8,5,5.572792391678526e-05,0.010745584229141835,0.0006479096292645314
360,19.95991983967936,-110,1550,0.1,1800000000.0,9,1.0,500,0.01,4e-10,0.5,bias_decoy_weak_vac_fin,0.5,0.1,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.8,5,5.4671159162942306e-05,0.01075944769654235,0.0006360822525216525
360,20.04008016032064,-110,1550,0.1,1800000000.0,9,1.0,500,0.01,4e-10,0.5,bias_decoy_weak_vac_fin,0.5,0.1,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.8,5,5.363390202281146e-05,0.010773568618623115,0.0006244710422050881
360,20.12024048096192,-110,1550,0.1,1800000000.0,9,1.0,500,0.01,4e-10,0.5,bias_decoy_weak_vac_fin,0.5,0.1,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.8,5,5.2615794072538366e-05,0.01078795176120453,0.0006130720499317732
360,20.200400801603205,-110,1550,0.1,1800000000.0,9,1.0,500,0.01,4e-10,0.5,bias_decoy_weak_vac_fin,0.5,0.1,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.8,5,5.1616483464892864e-05,0.01080260197775027,0.0006018813993498018
360,20.28056112224449,-110,1550,0.1,1800000000.0,9,1.0,500,0.01,4e-10,0.5,bias_decoy_weak_vac_fin,0.5,0.1,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.8,5,5.063562480825444e-05,0.01081752421096248,0.0005908952848264759
360,20.360721442885772,-110,1550,0.1,1800000000.0,9,1.0,500,0.01,4e-10,0.5,bias_decoy_weak_vac_fin,0.5,0.1,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.8,5,4.9672879048804025e-05,0.010832723494399487,0.0005801099701617796
360,20.440881763527052,-110,1550,0.1,1800000000.0,9,1.0,500,0.01,4e-10,0.5,bias_decoy_weak_vac_fin,0.5,0.1,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.8,5,4.872791335443631e-05,0.010848204954123178,0.0005695217873242786
360,20.521042084168336,-110,1550,0.1,1800000000.0,9,1.0,500,0.01,4e-10,0.5,bias_decoy_weak_vac_fin,0.5,0.1,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.8,5,4.780040100014813e-05,0.010863973810370145,0.0005591271352107796
360,20.60120240480962,-110,1550,0.1,1800000000.0,9,1.0,500,0.01,4e-10,0.5,bias_decoy_weak_vac_fin,0.5,0.1,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.8,5,4.6890021256495804e-05,0.010880035379264009,0.000548922478427083
